음식,칼로리,지방,포화지방,단일불포화지방,다중불포화지방,탄수화물,당류,단백질,식이섬유,콜레스테롤,나트륨,수분
carrots raw,25,0.1,0.046,0.043,0.069,5.8,2.9,0.6,1.7,0.0,0.024,53.9
red chili peppers,18,0.2,0.088,0.05,0.1,4.0,2.4,0.8,0.7,0.0,0.03,39.6
fennel,73,0.5,0.0,0.0,0.0,17.1,0.0,2.9,7.3,0.0,0.1,211.1
sweet corn white,63,0.9,0.1,0.3,0.4,13.9,2.4,2.4,2.0,0.0,0.016,55.5
celeriac raw,66,0.5,0.1,0.052,0.2,14.4,2.5,2.3,2.8,0.0,0.2,137.3
hubbard squash raw,46,0.6,0.1,0.096,0.2,10.1,4.6,2.3,4.5,0.0,0.094,102.1
brussels sprouts cooked,8,0.1,0.099,0.044,0.062,1.5,0.4,0.5,0.5,0.0,0.051,18.7
carrots cooked,16,0.092,0.096,0.074,0.008,3.8,1.6,0.3,1.4,0.0,0.025,41.5
lambs quarters raw,0,0.067,0.0,0.0,0.0,0.069,0.0,0.08,0.046,0.0,0.033,0.8
lotus root cooked,6,0.056,0.029,0.092,0.016,1.4,0.0,0.1,0.3,0.0,0.0,7.2
split peas raw,672,2.3,0.3,0.5,1.0,118.9,15.8,48.4,50.2,0.0,0.075,22.2
scots kale cooked,36,0.5,0.014,0.0,0.3,7.3,0.0,2.5,0.0,0.0,0.4,118.6
corn cooked,99,1.5,0.2,0.4,0.6,21.6,4.7,3.5,2.5,0.0,0.039,75.6
radish raw,1,0.026,0.084,0.086,0.021,0.2,0.066,0.042,0.002,0.0,0.033,4.3
stinging nettles,37,0.007,0.0,0.0,0.0,6.7,0.2,2.4,6.1,0.0,0.09,78.0
baby carrots,5,0.053,0.015,0.043,0.002,1.2,0.7,0.031,0.4,0.0,0.097,13.6
sweet yellow peppers,50,0.4,0.012,0.0,0.0,11.8,0.0,1.9,1.7,0.0,0.017,171.2
taro leaves raw,12,0.2,0.013,0.075,0.043,1.9,0.8,1.4,1.0,0.0,0.083,24.0
corn raw,123,1.9,0.5,0.6,0.7,26.7,9.0,4.7,2.9,0.0,0.083,108.8
roselle,28,0.4,0.0,0.0,0.0,6.4,0.0,0.5,0.0,0.0,0.079,49.4
drumstick leaves raw,13,0.3,0.0,0.0,0.0,1.7,0.0,2.0,0.4,0.0,0.071,16.5
scallop squash raw,23,0.3,0.097,0.018,0.1,5.0,3.1,1.6,1.6,0.0,0.075,122.4
chicory roots,65,0.2,0.052,0.054,0.041,15.8,7.9,1.3,1.4,0.0,0.055,72.0
brussels sprouts raw,8,0.077,0.072,0.028,0.026,1.7,0.4,0.6,0.7,0.0,0.049,16.3
kale cooked,42,1.4,0.2,0.1,0.8,6.3,1.4,3.5,4.7,0.0,0.018,106.0
pupusas con frijoles,289,11.4,2.8,3.8,3.7,39.7,1.6,7.0,7.3,0.0,0.4,65.7
mustard cabbage,36,0.1,0.016,0.057,0.033,7.2,1.8,1.4,4.0,0.0,0.9,117.9
gourd raw,19,0.2,0.07,0.076,0.041,4.1,1.9,1.1,1.0,0.0,0.03,89.2
butternut squash cooked,80,0.2,0.013,0.076,0.036,21.0,3.9,1.8,6.4,0.0,0.002,175.6
burdock root cooked,146,0.2,0.0,0.0,0.0,35.1,5.9,3.5,3.0,0.0,0.4,125.6
cassava,330,0.6,0.2,0.2,0.061,78.4,3.5,2.8,3.7,0.0,0.099,122.9
peas carrots cooked,77,0.7,0.1,0.004,0.3,16.2,7.0,4.9,5.0,0.0,0.5,137.3
romaine lettuce,8,0.1,0.049,0.085,0.079,1.5,0.6,0.6,1.0,0.0,0.083,44.5
yam raw,177,0.3,0.067,0.019,0.1,41.8,0.8,2.3,6.2,0.0,0.017,104.4
chowchow pickles,296,2.2,0.4,0.4,1.0,65.3,58.5,3.7,3.7,0.0,1.3,168.8
prairie turnips raw,20,0.029,0.0,0.0,0.0,4.5,0.1,0.3,1.0,0.0,0.059,7.7
savoy cabbage raw,19,0.017,0.091,0.008,0.014,4.3,1.6,1.4,2.2,0.0,0.007,63.7
celery raw,6,0.045,0.005,0.033,0.091,1.2,0.5,0.3,0.6,0.0,0.019,38.2
celeriac cooked,42,0.3,0.0,0.0,0.0,9.1,0.0,1.5,0.0,0.0,0.084,143.1
mustard spinach raw,33,0.5,0.087,0.2,0.073,5.9,0.0,3.3,4.2,0.0,0.025,138.3
zucchini raw,44,0.8,0.2,0.074,0.2,8.1,6.5,3.1,2.6,0.0,0.023,246.5
okra cooked,35,0.3,0.032,0.033,0.034,7.2,3.8,3.0,4.0,0.0,0.4,148.1
white icicle radish,14,0.1,0.076,0.083,0.091,2.6,0.0,1.1,1.4,0.0,0.049,95.4
orange tomato,18,0.2,0.097,0.062,0.046,3.5,0.0,1.3,1.0,0.0,0.001,105.2
pumpkin leaves raw,7,0.2,0.053,0.063,0.039,0.9,0.0,1.2,0.0,0.0,0.057,36.2
spaghetti squash cooked,42,0.4,0.091,0.0,0.2,10.0,3.9,1.0,2.2,0.0,0.4,143.1
white corn cooked,100,1.5,0.2,0.4,0.6,22.4,8.0,3.4,2.8,0.0,0.082,75.0
artichoke cooked,64,0.4,0.059,0.077,0.2,14.3,1.2,3.5,10.3,0.0,0.087,100.9
avocado,432,39.6,5.7,26.5,4.9,23.0,1.8,5.4,18.1,0.0,0.045,197.7
string beans wellsley farms,8,0.0,0.0,0.0,0.0,1.7,0.3,0.3,0.087,1.0,0.0,0.0
lambs quarters cooked,58,1.3,0.085,0.2,0.6,9.0,1.1,5.8,3.8,0.0,0.5,160.0
peas cooked,134,0.4,0.065,0.05,0.2,25.0,9.5,8.6,8.8,0.0,0.074,124.6
beets cooked,22,0.085,0.026,0.024,0.07,5.0,4.0,0.8,1.0,0.0,0.035,43.5
shallots dried,3,0.013,0.063,0.043,0.061,0.7,0.3,0.1,0.1,0.0,0.059,0.087
green lettuce,23,0.2,0.027,0.075,0.1,4.3,1.2,2.0,2.0,0.0,0.05,142.5
kohlrabi cooked,48,0.2,0.041,0.004,0.094,11.0,4.6,3.0,1.8,0.0,0.035,149.0
kanpyo dried,139,0.3,0.041,0.012,0.1,35.1,0.0,4.6,5.3,0.0,0.056,10.8
prairie turnips boiled,18,0.086,0.0,0.0,0.0,4.2,0.7,0.2,1.0,0.0,0.012,9.5
broccoli raab cooked,21,0.4,0.086,0.017,0.1,2.7,0.5,3.3,2.4,0.0,0.077,77.7
summer squash cooked,49,1.0,0.2,0.031,0.3,9.9,6.4,2.7,2.9,0.0,0.036,245.1
taro cooked,187,0.1,0.012,0.064,0.056,45.7,0.6,0.7,6.7,0.0,0.055,84.2
spring onion scallions,6,0.077,0.029,0.055,0.031,1.5,0.5,0.4,0.5,0.0,0.048,18.0
hubbard squash cooked,57,0.7,0.1,0.042,0.3,12.3,5.6,2.8,5.5,0.0,0.5,173.1
jalapeno pepper,4,0.002,0.06,0.018,0.095,0.9,0.6,0.1,0.4,0.0,0.028,12.8
new zealand spinach cooked,22,0.3,0.027,0.028,0.1,3.8,0.5,2.3,2.5,0.0,0.6,170.6
sesbania flower raw,1,0.095,0.0,0.0,0.0,0.2,0.0,0.012,0.0,0.0,0.007,2.7
spirulina dried,20,0.5,0.2,0.019,0.1,1.7,0.2,4.0,0.3,0.0,0.031,0.3
chinese cabbage pe tsai cooked,17,0.2,0.011,0.059,0.086,2.9,0.0,1.8,2.0,0.0,0.3,113.3
zucchini cooked,27,0.6,0.1,0.095,0.3,4.8,3.1,2.1,1.8,0.0,0.077,171.4
green olives pickled,4,0.4,0.064,0.3,0.047,0.1,0.051,0.073,0.057,0.0,0.1,2.0
lotus root raw,85,0.1,0.057,0.089,0.04,19.8,0.0,3.0,5.6,0.0,0.06,91.0
grape leaves,13,0.3,0.085,0.063,0.1,2.4,0.9,0.8,1.5,0.0,0.005,10.3
dill pickled cucumber,17,0.2,0.08,0.055,0.065,3.7,1.9,0.9,1.6,0.0,1.3,134.9
skunk cabbage,11,0.1,0.0,0.0,0.0,1.8,0.0,1.5,1.2,0.0,0.016,51.8
banana pepper,9,0.1,0.018,0.073,0.098,1.8,0.6,0.5,1.1,0.0,0.039,30.3
oriental radish raw,61,0.3,0.1,0.01,0.2,13.9,8.5,2.0,5.4,0.0,0.014,319.8
purslane cooked,21,0.2,0.0,0.0,0.0,4.1,0.0,1.7,0.0,0.0,0.3,107.5
rhubarb raw,11,0.1,0.043,0.018,0.045,2.3,0.6,0.5,0.9,0.0,0.058,47.7
swamp cabbage,20,0.2,0.0,0.0,0.0,3.6,0.0,2.0,1.9,0.0,0.4,91.1
mung bean sprouts raw,6,0.044,0.036,0.026,0.085,1.2,0.8,0.6,0.4,0.0,0.08,18.1
onion cooked,7,0.034,0.095,0.098,0.092,1.5,0.7,0.2,0.2,0.0,0.04,13.2
swiss chard raw,7,0.042,0.065,0.092,0.013,1.3,0.4,0.6,0.6,0.0,0.089,33.4
peas raw,117,0.6,0.1,0.086,0.3,21.0,8.2,7.9,7.4,0.0,0.017,114.3
cabbage cooked,35,0.019,0.0,0.012,0.061,8.3,4.2,1.9,2.9,0.0,0.011,138.9
taro leaves cooked,35,0.6,0.1,0.065,0.2,5.6,0.0,3.9,2.9,0.0,0.3,133.6
leeks cooked,38,0.2,0.086,0.098,0.1,9.4,2.6,1.0,1.2,0.0,0.067,112.6
split peas cooked,227,0.8,0.1,0.2,0.3,40.2,5.7,16.3,16.3,0.0,0.5,136.2
sweet corn yellow,58,0.4,0.029,0.1,0.2,14.2,2.6,4.1,1.5,0.0,0.05,55.9
asparagus raw,2,0.037,0.012,0.0,0.083,0.5,0.2,0.3,0.3,0.0,0.047,11.2
collard cooked,63,1.4,0.049,0.095,0.3,10.7,0.0,5.1,7.6,0.0,0.013,171.3
swiss chard cooked,35,0.1,0.0,0.0,0.0,7.2,1.9,3.3,3.7,0.0,0.7,162.1
nopales cooked,22,0.003,0.064,0.007,0.071,4.9,1.7,2.0,3.0,0.0,0.087,140.5
tahitian taro cooked,60,0.9,0.2,0.015,0.4,9.4,0.0,5.7,0.0,0.0,0.4,118.5
chinese cabbage pak choi raw,9,0.1,0.013,0.03,0.034,1.5,0.8,1.1,0.7,0.0,0.087,66.7
green chili pepper,18,0.097,0.067,0.088,0.034,4.3,2.3,0.9,0.7,0.0,0.023,39.5
mountain yam raw,91,0.1,0.015,0.047,0.027,22.2,0.4,1.8,3.4,0.0,0.021,110.8
parsnips cooked,114,0.5,0.081,0.2,0.018,27.2,7.7,2.1,6.4,0.0,0.021,128.4
tomato stewed,97,3.3,0.6,1.3,1.1,16.1,0.0,2.4,2.1,0.0,0.6,99.2
sweet green peppers cooked,19,0.1,0.037,0.031,0.039,4.5,2.3,0.7,0.9,0.0,0.2,67.1
white corn raw,143,2.0,0.3,0.6,0.9,31.6,5.3,5.3,4.5,0.0,0.088,126.1
rutabaga raw,286,1.2,0.2,0.2,0.7,66.5,34.4,8.3,17.8,0.0,0.061,690.4
jalapeno peppers canned,37,1.3,0.1,0.031,0.7,6.4,2.9,1.3,3.5,0.0,2.3,120.9
pumpkin canned,83,0.7,0.4,0.098,0.032,19.8,8.1,2.7,7.1,0.0,0.6,220.4
peas onions canned,61,0.5,0.064,0.009,0.2,10.3,0.0,3.9,2.8,0.0,0.5,103.7
sweet mashed potato canned,258,0.5,0.1,0.042,0.2,59.1,13.9,5.0,4.3,0.0,0.2,188.4
hominy canned,119,1.5,0.2,0.4,0.7,23.5,3.0,2.4,4.1,0.0,0.6,136.2
tomato puree canned,95,0.5,0.098,0.028,0.2,22.5,12.1,4.1,4.8,0.0,0.002,219.7
dried tomatoes canned in oil,6,0.4,0.072,0.3,0.076,0.7,0.0,0.2,0.2,0.0,0.056,1.6
mixed vegetables canned,88,0.6,0.1,0.039,0.3,17.5,0.0,3.5,9.3,0.0,0.5,221.1
straw mushrooms canned,2,0.09,0.1,0.06,0.027,0.3,0.0,0.2,0.1,0.0,0.049,4.9
capers canned,2,0.089,0.021,0.098,0.089,0.4,0.011,0.2,0.3,0.0,0.2,7.2
red peppers canned,15,0.058,0.03,0.069,0.098,3.7,2.4,0.7,0.9,0.0,0.9,67.5
carrots canned,104,0.6,0.1,0.009,0.3,24.4,11.2,2.6,8.2,0.0,0.2,422.2
tomatoes in tomato juice canned,41,0.3,0.08,0.013,0.1,9.6,5.7,1.9,2.4,0.0,0.3,226.3
asparagus canned,62,0.7,0.2,0.015,0.3,10.2,4.1,7.4,4.1,0.0,0.1,387.7
sweet red peppers canned,25,0.4,0.013,0.006,0.2,5.5,0.0,1.1,1.7,0.0,1.9,127.8
onions canned,12,0.084,0.045,0.06,0.042,2.5,1.4,0.5,0.8,0.0,0.2,59.3
turnip greens canned,27,0.4,0.1,0.047,0.2,4.0,0.6,2.0,1.9,0.0,0.082,136.4
hearts of palm,9,0.2,0.056,0.029,0.02,1.5,0.0,0.8,0.8,0.0,0.1,29.8
spinach canned,44,0.9,0.1,0.074,0.4,6.8,0.0,4.9,3.7,0.0,0.7,218.1
sweet potato canned,568,1.3,0.3,0.08,0.5,133.5,98.3,6.3,16.0,0.0,0.3,493.7
corn canned,49,0.6,0.032,0.1,0.2,11.1,3.3,1.6,1.4,0.0,0.2,66.1
peas carrots canned,97,0.7,0.1,0.052,0.3,21.6,7.2,5.5,8.4,0.0,0.7,224.8
crookneck squash canned,27,0.1,0.088,0.065,0.027,6.2,2.5,1.3,2.9,0.0,0.006,201.7
tomatoes canned,77,0.7,0.062,0.1,0.3,17.6,10.6,4.0,4.6,0.0,0.3,216.4
pimento canned,44,0.6,0.004,0.081,0.3,9.8,5.2,2.1,3.6,0.0,0.006,178.8
sweet green peppers canned,25,0.4,0.037,0.015,0.2,5.5,0.0,1.1,1.7,0.0,1.9,127.8
peas canned,57,0.8,0.1,0.021,0.4,9.5,0.0,3.5,0.0,0.0,0.2,65.5
chili peppers canned,29,0.4,0.013,0.053,0.2,6.4,0.0,1.0,2.4,0.0,0.6,129.6
green peppers canned,15,0.074,0.096,0.015,0.062,3.7,2.3,0.7,0.9,0.0,0.9,67.5
grape leaves canned,20,0.6,0.065,0.016,0.3,3.3,0.0,1.2,2.8,0.0,0.8,21.5
sauerkraut canned,27,0.2,0.023,0.056,0.01,6.1,2.5,1.3,4.1,0.0,0.9,131.4
beets canned,69,0.2,0.017,0.06,0.099,16.2,13.2,2.0,3.0,0.0,0.02,225.4
stewed tomatoes canned,66,0.5,0.078,0.058,0.2,15.8,9.0,2.3,2.6,0.0,0.6,233.4
tomato paste canned,215,1.2,0.3,0.2,0.4,49.5,31.9,11.3,10.7,0.0,2.1,192.6
bacon ranch salad mcdonalds,389,20.1,5.2,7.9,5.2,19.4,4.9,28.1,3.2,70.2,0.9,246.8
caesar salad with grilled chicken mcdonalds,201,5.6,3.0,1.5,0.6,11.3,4.8,29.1,3.3,71.0,0.6,245.5
caesar salad mcdonalds,94,4.4,2.5,1.0,0.3,9.1,4.4,6.8,3.4,10.7,0.2,191.1
vegetable salad,22,0.054,0.053,0.03,0.016,4.4,0.0,1.7,0.0,0.0,0.025,131.8
vegetable salad with chicken,70,1.5,0.4,0.5,0.4,2.5,0.0,11.6,0.0,47.9,0.1,126.5
potato salad,358,20.5,3.6,6.2,9.3,27.9,0.0,6.7,3.3,170.0,1.3,190.0
taco salad taco bell,906,48.9,15.9,21.2,4.0,80.5,0.0,35.7,16.0,101.3,1.9,358.8
iceberg lettuce,8,0.045,0.089,0.015,0.076,1.7,1.1,0.5,0.7,0.0,0.022,54.5
cornsalad,12,0.2,0.0,0.0,0.0,2.0,0.0,1.1,0.0,0.0,0.067,52.0
potato salad with egg,393,23.5,3.6,5.0,12.5,40.5,12.4,4.9,3.3,42.5,0.8,177.5
side salad mcdonalds,17,0.2,0.014,0.061,0.031,3.7,1.9,0.9,1.4,0.0,0.037,81.7
caesar salad with crispy chicken mcdonalds,349,16.4,4.3,6.5,4.7,19.2,4.5,25.7,3.4,55.6,0.7,243.4
grape apple salad with walnuts,191,8.2,1.1,1.4,5.3,25.6,20.3,3.5,3.6,1.6,0.087,124.7
vegetable salad with cheese egg,68,3.9,2.0,1.2,0.3,3.2,0.0,5.8,0.0,65.1,0.044,130.8
celtuce,1,0.088,0.0,0.0,0.0,0.3,0.0,0.071,0.1,0.0,0.094,7.6
arugula,5,0.1,0.029,0.015,0.057,0.7,0.4,0.5,0.3,0.0,0.018,18.3
vegetable salad with shrimp,71,1.7,0.4,0.5,0.3,4.4,0.0,9.7,0.0,119.5,0.3,140.2
coleslaw,292,18.9,3.1,5.1,10.2,28.4,23.3,1.8,3.6,7.6,0.4,140.2
shiitake mushrooms cooked,10,0.007,0.061,0.051,0.064,2.6,0.7,0.3,0.4,0.0,0.048,15.0
shiitake mushrooms raw,6,0.039,0.0,0.0,0.0,1.3,0.5,0.4,0.5,0.0,0.096,17.1
crimini mushrooms,1,0.018,0.054,0.014,0.025,0.3,0.1,0.2,0.064,0.0,0.086,5.5
mushrooms raw,15,0.2,0.052,0.0,0.1,2.3,1.4,2.2,0.7,0.0,0.053,64.7
portabella mushrooms grilled,35,0.7,0.023,0.021,0.3,5.4,2.7,4.0,2.7,0.0,0.047,109.7
maitake mushrooms,0,0.017,0.011,0.059,0.022,0.072,0.043,0.016,0.041,0.0,0.059,1.0
shiitake mushrooms dried,11,0.061,0.014,0.004,0.058,2.7,0.046,0.3,0.4,0.0,0.086,0.3
chanterelle mushrooms,2,0.063,0.0,0.0,0.0,0.4,0.076,0.033,0.2,0.0,0.028,4.9
cloud ear fungus dried,80,0.2,0.0,0.0,0.0,20.4,0.0,2.6,19.6,0.0,0.036,4.1
mushrooms cooked,44,0.7,0.05,0.004,0.3,8.3,3.7,3.4,3.4,0.0,0.011,142.1
pepeao dried,72,0.1,0.0,0.0,0.0,19.4,0.0,1.2,0.0,0.0,0.072,2.7
truffles,61,4.1,2.2,1.5,0.1,5.4,4.6,0.7,0.3,6.4,0.034,1.6
jews ear,25,0.095,0.0,0.0,0.0,6.7,0.0,0.5,0.0,0.0,0.027,91.7
enoki mushrooms,1,0.099,0.027,0.0,0.01,0.2,0.034,0.062,0.089,0.0,0.084,2.7
morel mushrooms,4,0.07,0.056,0.031,0.007,0.7,0.096,0.4,0.4,0.0,0.08,11.6
portabella mushrooms raw,19,0.3,0.036,0.016,0.1,3.3,2.2,1.8,1.1,0.0,0.014,79.8
oyster mushroom,5,0.035,0.016,0.039,0.099,0.9,0.2,0.5,0.3,0.0,0.098,13.4
chocolate pudding fat free,105,0.3,0.0,0.0,0.0,23.6,17.8,2.2,0.3,1.1,0.1,86.1
tapioca pudding,143,4.3,1.1,2.8,0.088,23.9,16.4,2.1,0.0,1.1,0.2,79.0
tapioca pudding fat free,105,0.4,0.1,0.08,0.067,23.9,15.9,1.6,0.0,1.1,0.2,85.4
rice pudding,122,2.4,1.4,0.6,0.1,20.8,13.1,3.6,0.3,13.6,0.1,84.9
corn pudding,328,12.6,6.3,3.9,1.4,42.4,16.5,11.1,3.0,180.0,0.7,180.8
chocolate pudding,213,6.9,1.9,4.1,0.2,34.5,25.8,3.1,0.0,1.5,0.2,104.2
lemon pudding,173,4.4,2.6,1.3,0.2,30.2,0.0,4.1,0.0,16.5,0.4,109.8
vanilla pudding,195,5.7,1.5,3.4,0.1,33.9,25.5,2.2,0.0,1.5,0.3,107.5
profeel proteiinirahka valio,140,0.4,0.2,16.8,16.8,19.3,0.2,175.0,0.0,0.0,0.0,0.0
cottage cheese creamed,20,0.9,0.3,0.2,0.084,0.7,0.5,2.2,0.0,3.4,0.095,16.0
zaziki milfina,51,4.4,1.6,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cottage cheese low fat,163,2.3,1.5,0.7,0.041,6.1,6.1,28.0,0.0,9.0,0.9,186.4
cottage cheese nonfat,104,0.4,0.2,0.1,0.066,9.7,2.7,15.0,0.0,10.2,0.5,117.5
vanilla yogurt low fat,208,3.1,2.0,0.8,0.036,33.8,33.8,12.1,0.0,12.3,0.2,193.6
classique yogurt plain 2 liberte,30,1.2,0.7,0.7,0.0,1.7,1.7,3.3,0.0,0.017,0.0,0.0
yoplait light strawberry yogurt yoplait,79,0.0,14.1,8.8,4.4,0.074,0.0,0.0,0.0,0.0,0.0,0.0
vanilla yogurt,145,2.1,1.3,0.5,0.069,23.5,23.5,8.4,0.0,8.5,0.1,134.3
chocolate yogurt,168,0.0,0.0,0.0,0.0,35.3,22.5,5.3,1.8,1.5,0.2,107.4
yogurt parfait,125,1.5,0.8,0.5,0.2,23.6,17.4,5.0,1.6,4.5,0.048,117.7
yogurt,92,4.9,3.1,1.3,0.1,7.0,7.0,5.2,0.0,19.5,0.005,131.9
chocolate frozen yogurt,221,6.3,4.0,1.7,0.2,37.6,33.5,5.2,4.0,22.6,0.1,123.9
frozen yogurt,221,6.3,4.0,1.7,0.2,37.6,34.7,5.2,0.0,22.6,0.1,123.9
yogurt low fat,154,3.8,2.5,1.0,0.1,17.2,17.2,12.9,0.0,14.7,0.2,208.4
vanilla yoghurt oikos,120,1.8,24.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fruit yogurt,149,1.7,1.1,0.5,0.024,28.0,28.0,6.0,0.0,7.5,0.013,113.0
danone low fat alsafi,88,1.7,1.0,11.1,7.1,0.089,255.0,0.0,0.0,0.0,0.0,0.0
fruit n yogurt parfait mcdonalds,156,1.9,0.044,0.2,0.1,30.9,19.1,4.1,1.5,7.5,0.065,111.2
triple zero greek yogurt dannon oikos,120,0.0,0.0,15.0,7.0,22.5,6.0,0.038,0.0,0.0,0.0,0.0
greek yogurt,100,0.7,0.2,0.018,0.01,6.1,5.5,17.3,0.0,8.5,0.081,144.7
chocolate rasberry protein mini proteinfx,102,2.9,1.8,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gushers fruit gushers,360,6.0,80.0,40.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
egg fried,90,6.8,2.0,2.8,1.5,0.4,0.2,6.3,0.0,184.5,0.043,32.0
glucerna abbott,1010,35.6,2.8,0.0,0.0,120.9,49.8,0.0,12.8,0.0,0.0,0.0
sports drink,26,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.073,232.3
peanut butter cookie protein syntha 6,200,6.0,15.0,2.0,22.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
hanfprotein pulver rohkostqualitat veganz,107,3.1,0.3,2.3,1.6,14.2,0.057,0.0,0.0,0.0,0.0,0.0
smoothie high protein creamy chocolate slimfast,110,3.5,0.5,0.0,0.0,2.1,1.0,12.0,0.0,5.0,0.2,15.0
egg large,138,9.3,0.5,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boysenberries frozen,66,0.3,0.049,0.059,0.2,16.1,9.1,1.5,7.0,0.0,0.064,113.4
malt beverage,88,0.3,0.005,0.032,0.1,19.1,19.1,0.5,0.0,0.0,0.02,216.0
chocolate powder for milk,88,0.5,0.5,0.0,0.0,19.9,18.0,1.0,1.0,0.0,0.012,0.2
vegetable fruit juice,9,0.017,0.0,0.0,0.0,2.2,0.6,0.071,0.0,0.0,0.043,27.2
cocoa powder unsweetened,12,0.7,0.4,0.2,0.048,3.1,0.087,1.1,1.8,0.0,0.062,0.2
coconut milk,35,3.6,3.2,0.2,0.01,0.8,0.5,0.3,0.3,0.0,0.001,10.1
cocoa powder,28,0.3,0.2,0.061,0.055,5.9,4.6,0.5,0.3,0.0,0.034,0.1
rice drink,113,2.3,0.0,1.5,0.8,22.0,12.7,0.7,0.7,0.0,0.058,214.3
coconut water,46,0.5,0.4,0.091,0.03,8.9,6.3,1.7,2.6,0.0,0.3,228.0
caramel med iced coffee dunkin donuts,268,9.0,41.0,37.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
instant coffee with water decaffeinated,4,0.0,0.024,0.0,0.068,0.8,0.0,0.2,0.0,0.0,0.093,177.1
instant coffee powder,353,0.5,0.2,0.09,0.2,75.4,0.0,12.2,0.0,0.0,0.051,3.1
instant coffee powder decaffeinated,6,0.069,0.015,0.031,0.075,1.4,0.0,0.2,0.0,0.0,0.09,0.051
instant cappuccino powder,53,0.7,0.4,0.2,0.098,11.2,9.0,0.4,0.2,0.3,0.074,0.2
coffee decaffeinated,0,0.0,0.087,0.0,0.099,0.0,0.0,0.2,0.0,0.0,0.058,235.3
espresso decaffeinated,3,0.011,0.037,0.0,0.057,0.5,0.0,0.065,0.0,0.0,0.011,29.3
instant coffee with water,4,0.0,0.051,0.0,0.025,0.6,0.0,0.2,0.0,0.0,0.015,177.4
coffee,2,0.069,0.011,0.016,0.011,0.0,0.0,0.3,0.0,0.0,0.075,235.6
espresso,3,0.086,0.068,0.0,0.054,0.5,0.0,0.021,0.0,0.0,0.083,29.3
whey protein powder vanilla eas,108,1.7,1.4,1.3,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy drink sugar free red bull,13,0.2,0.0,0.0,0.0,1.8,0.0,0.6,0.0,0.0,0.008,245.9
powerade coca cola,9,0.009,0.076,0.078,0.054,2.3,1.8,0.0,0.0,0.0,0.005,27.1
amp energy pepsi,110,0.2,0.0,0.0,0.0,29.0,29.0,0.6,0.0,0.0,0.093,209.5
gatorade g2 pepsi,2,0.052,0.0,0.0,0.0,0.6,0.4,0.069,0.0,0.0,0.011,28.9
amp energy sugar free pepsi,5,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.093,236.0
energy drink red bull,111,0.0,0.0,0.0,0.0,26.4,26.4,1.2,0.0,0.0,0.1,230.2
powerade zero ion4 coca cola,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,29.5
full throttle coca cola,110,0.2,0.0,0.0,0.0,29.0,29.0,0.6,0.0,0.0,0.071,209.5
passion fruit juice purple,148,0.4,0.064,0.037,0.3,35.7,35.2,1.7,0.5,0.0,0.084,208.0
pomegranate juice,134,0.7,0.2,0.1,0.1,32.7,31.5,0.4,0.2,0.0,0.089,214.0
cranberry apricot juice,157,0.0,0.0,0.0,0.0,39.7,0.0,0.5,0.2,0.0,0.007,204.6
pineapple juice,133,0.3,0.071,0.027,0.1,32.2,25.0,0.9,0.5,0.0,0.075,215.9
passion fruit juice yellow,126,0.1,0.008,0.02,0.094,33.6,33.1,1.0,0.5,0.0,0.003,211.5
orange apricot juice,128,0.3,0.001,0.078,0.063,31.8,30.2,0.8,0.3,0.0,0.096,216.8
tangerine juice,106,0.5,0.082,0.015,0.054,24.9,24.5,1.2,0.5,0.0,0.022,219.6
orange juice,90,0.4,0.079,0.046,0.037,20.8,16.8,1.4,0.4,0.0,0.067,176.6
grapefruit juice,96,0.2,0.011,0.09,0.008,22.7,0.0,1.2,0.0,0.0,0.061,222.3
pineapple grapefruit juice,118,0.3,0.077,0.0,0.022,29.0,28.8,0.5,0.3,0.0,0.054,219.8
tamarind nectar,143,0.3,0.0,0.0,0.0,37.0,31.9,0.2,1.3,0.0,0.046,213.3
apple juice,114,0.3,0.064,0.078,0.09,28.0,23.9,0.2,0.5,0.0,0.038,218.8
limeade,128,0.0,0.0,0.0,0.0,34.1,32.8,0.0,0.0,0.0,0.071,212.6
guava nectar,158,0.2,0.05,0.071,0.054,40.8,32.5,0.2,2.5,0.0,0.063,209.6
orange grapefruit juice,106,0.2,0.009,0.001,0.098,25.4,25.1,1.5,0.2,0.0,0.082,218.9
orange juice sainsburys,14,0.088,2.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cranberry apple juice,154,0.3,0.066,0.014,0.1,38.8,35.5,0.0,0.0,0.0,0.061,205.3
pineapple orange juice,125,0.0,0.0,0.0,0.0,29.5,29.0,3.3,0.3,0.0,0.069,217.3
