음식,칼로리,지방,포화지방,단일불포화지방,다중불포화지방,탄수화물,당류,단백질,식이섬유,콜레스테롤,나트륨,수분
focaccia,142,4.5,0.5,3.2,0.6,20.4,1.0,5.0,1.0,0.0,0.3,26.2
oat bran bread toasted,70,1.3,0.2,0.5,0.5,11.8,2.3,3.1,1.3,0.0,0.1,10.4
rye bread,83,1.1,0.2,0.4,0.3,15.5,1.2,2.7,1.9,0.0,0.2,11.9
wheat germ bread,73,0.8,0.2,0.4,0.2,13.5,1.0,2.7,0.6,0.0,0.2,10.4
protein bread toasted,46,0.4,0.059,0.082,0.2,8.2,0.2,2.2,0.6,0.0,0.049,5.8
oatmeal bread,73,1.2,0.2,0.4,0.5,13.1,2.2,2.3,1.1,0.0,0.1,9.9
arepa,215,5.3,2.8,1.5,1.0,36.4,0.9,5.4,2.5,4.9,0.3,49.8
raisin bread toasted,86,1.4,0.3,0.7,0.2,16.5,1.8,2.5,1.4,0.0,0.1,8.1
cracked wheat bread,74,1.1,0.3,0.5,0.2,14.0,0.0,2.5,1.6,0.0,0.2,10.1
garlic bread,151,7.1,2.3,2.0,2.3,17.9,1.6,3.6,1.1,0.0,0.2,13.7
rye bread toasted,82,1.0,0.2,0.4,0.3,15.4,1.2,2.7,1.9,0.0,0.2,9.0
whole wheat bread,128,2.5,0.4,0.5,1.4,23.6,1.8,3.9,2.8,0.0,0.2,15.0
whole wheat bread toasted,128,2.5,0.4,0.5,1.4,23.7,1.8,3.9,2.8,0.0,0.2,10.9
pan dulce bread,231,7.3,1.4,2.2,1.0,35.5,7.9,5.9,1.4,18.9,0.1,13.6
rice bran bread toasted,66,1.3,0.2,0.4,0.5,11.8,1.3,2.4,1.3,0.0,0.026,9.0
pita bread whole wheat,74,0.7,0.1,0.053,0.3,15.4,0.2,2.7,2.1,0.0,0.1,8.6
wheat germ bread toasted,73,0.8,0.2,0.4,0.2,13.6,1.0,2.7,0.6,0.3,0.2,7.3
pumpernickel bread,65,0.8,0.1,0.2,0.3,12.4,0.1,2.3,1.7,0.0,0.2,9.9
frybread,502,18.6,7.0,6.7,1.6,73.4,3.1,10.2,0.0,10.6,0.5,48.0
white bread toasted,83,1.1,0.2,0.2,0.6,15.4,1.3,2.5,0.7,0.3,0.2,8.6
piki bread,109,2.0,0.2,0.5,0.5,20.2,0.4,2.5,2.6,0.0,0.028,2.5
wheat bread toasted,75,1.0,0.2,0.2,0.4,13.4,1.5,3.1,1.1,0.0,0.1,5.8
pita bread,165,0.7,0.091,0.038,0.3,33.4,0.8,5.5,1.3,0.0,0.3,19.3
potato bread,85,1.0,0.0,0.0,0.0,15.1,3.0,4.0,2.0,0.0,0.1,10.7
egg bread,115,2.4,0.6,0.9,0.4,19.1,0.7,3.8,0.9,20.4,0.2,13.9
oatmeal bread toasted,73,1.2,0.2,0.4,0.5,13.2,2.2,2.3,1.1,0.0,0.1,7.8
cheese bread,196,10.0,3.0,2.1,4.4,21.5,1.0,5.0,1.0,4.8,0.4,10.1
pumpernickel bread toasted,80,1.0,0.1,0.3,0.4,15.1,0.2,2.8,2.1,0.0,0.2,9.2
raisin bread,88,1.4,0.3,0.7,0.2,16.7,1.8,2.5,1.4,0.0,0.1,10.8
pumpernickel roll,77,0.8,0.1,0.2,0.3,14.8,0.1,3.0,1.5,0.0,0.1,9.0
cinnamon raisin bagel,71,0.4,0.054,0.079,0.2,14.4,1.6,2.5,0.6,0.0,0.047,8.3
english muffin,127,1.1,0.2,0.2,0.5,25.5,0.9,5.0,2.6,0.0,0.2,24.1
rye dinner roll,123,1.5,0.3,0.5,0.3,22.8,0.5,4.4,2.1,0.0,0.3,12.9
english muffin whole wheat,134,1.4,0.2,0.3,0.6,26.7,5.3,5.8,4.4,0.0,0.2,30.2
dinner roll whole wheat,74,1.3,0.2,0.3,0.6,14.3,2.4,2.4,2.1,0.0,0.1,9.3
dinner roll,76,1.8,0.4,0.9,0.3,12.9,0.5,2.4,1.1,0.0,0.1,10.4
